address,latitude,longitude
1060 BRYANT ST,37.771759938452,-122.408042377395
125 SOUTH PARK,37.781204209039,-122.394040259062
383 KING ST,37.774787330932,-122.395736539283
450 MINNA ST,,
1016 BRYANT ST,37.772299083061,-122.407357433587
460 MINNA ST,,
220 04TH ST,,
05 SOUTH PARK,37.782354257695,-122.392865742076
848 FOLSOM ST,37.781201956899,-122.402304173504
188 TOWNSEND ST,37.779125267144,-122.392507538578
510 07TH ST,,
40 RINGOLD ST,37.774101633581,-122.410192152948
730 FOLSOM ST,37.783460926443,-122.399442638958
194 RUSS ST,37.777677374199,-122.406884818734
2 HARRIET ST,37.779241030961,-122.407691854018
604 07TH ST,,
740 FOLSOM ST,37.783352566935,-122.399579581502
688 07TH ST,,
608 07TH ST,,
80 RINGOLD ST,37.773628375884,-122.410793888533
726 FOLSOM ST,37.783504270246,-122.399387861941
40 HARRIET ST,37.778781811929,-122.407122821882
630 07TH ST,,
68 LANGTON ST,37.776675768094,-122.408933079996
160 07TH ST,,
616 MINNA ST,37.778520297547,-122.410834155852
24 HAWTHORNE ST,37.785595480595,-122.399091846997
760 BRYANT ST,37.776882295809,-122.4015581813
660 MINNA ST,37.777800268764,-122.411746750578
640 MINNA ST,37.778127554575,-122.411331934794
525 THE EMBARCADERO,37.787847550438,-122.387635501481
18 13TH ST,37.769643001711,-122.413790833567
604 BRYANT ST,37.779496441905,-122.398250402775
680 BRYANT ST,37.778191214734,-122.39990524456
760 TEHAMA ST,37.775088736596,-122.412063360515
10 DORE ST,37.774339066494,-122.413650700286
2016 HARRISON ST,37.765181665602,-122.41315678133
1880 FOLSOM ST,37.767264133137,-122.415566115829
774 TEHAMA ST,37.774924180121,-122.412271158133
40 LAPU-LAPU ST,,
10 LAPU-LAPU ST,,
478 TREAT AVE,37.76254388499,-122.414002399496
2070 FOLSOM ST,37.764098519231,-122.415266506199
15 TANDANG SORA,37.781833681181,-122.400120421018
1651 04TH ST,,
1742 MISSION ST,37.769272250886,-122.420196492871
60 RIZAL ST,37.781752673564,-122.399375445955
2040 FOLSOM ST,37.764470903378,-122.415301417167
255 THE EMBARCADERO,,
75 BONIFACIO ST,37.782053289059,-122.399930631561
2172 HARRISON ST,37.7623247641,-122.412923843312
05 BONIFACIO ST,37.782497305503,-122.399372167432
2244 HARRISON ST,37.76188968647,-122.412881851354
10 MCCOPPIN ST,37.77169343217,-122.421879827165
2358 HARRISON ST,37.760452458433,-122.412730783224
350 01ST ST,,
98 MCCOPPIN ST,37.771653167539,-122.422456954107
2130 FOLSOM ST,37.76318105865,-122.415178153302
370 01ST ST,,
20 12TH ST,37.773897042971,-122.419767765374
2390 HARRISON ST,37.760389754502,-122.412722484182
68 12TH ST,37.77338463987,-122.419125492429
20 CONNECTICUT ST,37.766087983356,-122.397908194107
101 FRANKLIN ST,37.775742605185,-122.421134291339
60 CONNECTICUT ST,37.765595478637,-122.397860675347
360 ALABAMA ST,37.764704179197,-122.412414881716
318 FREMONT ST,37.787706863224,-122.393337034111
498 ALABAMA ST,37.76296789677,-122.412250492087
380 ALABAMA ST,37.764463011457,-122.41239227227
580 ALABAMA ST,37.761910958472,-122.412149333282
