,citation_number,citation_issued_datetime,violation,violation_desc,citation_location,vehicle_plate_state,vehicle_plate,fine_amount,date_added,the_geom,supervisor_districts,analysis_neighborhood,latitude,longitude,:@computed_region_ajp5_b2md,:@computed_region_jwn9_ihcz,:@computed_region_6qbp_sg9q,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq
0,930781806,2020-08-28T11:34:00.000,TRC7.2.23B,MTR OUT DT,1750 WASHINGTON ST,CA,6PXK139,79.0,2020-12-24T00:00:00.000,"{'type': 'Point', 'coordinates': [-122.42214398599998, 37.79341799600007]}",3,Russian Hill,POINT(-122.42214398599998 37.79341799600007),POINT(-122.42214398599998 37.79341799600007),32,105,105,4,3
1,970935394,2024-01-31T16:15:00.000,TRC7.2.35,PRK GRADE,1954 HYDE ST,CA,7EYS624,63.0,2024-02-08T00:00:00.000,,,,,,,,,,
2,865529814,2016-02-24T08:18:00.000,TRC7.2.22,STR CLEAN,575 CLAYTON ST,,,68.0,2020-11-13T00:00:00.000,"{'type': 'Point', 'coordinates': [-122.44866733399999, 37.76994278900003]}",5,Haight Ashbury,POINT(-122.44866733399999 37.76994278900003),POINT(-122.44866733399999 37.76994278900003),3,25,25,7,11
3,886202752,2017-09-07T09:34:00.000,TRC7.2.22,STR CLEAN,418 HAMILTON ST,CA,7PHP213,73.0,2021-04-12T00:00:00.000,"{'type': 'Point', 'coordinates': [-122.40958102199994, 37.72573002000007]}",9,Portola,POINT(-122.40958102199994 37.72573002000007),POINT(-122.40958102199994 37.72573002000007),25,91,91,2,2
4,952979554,2022-07-20T13:36:00.000,TRC7.2.40,PRK PROHIB,27 ROSS ALY,CA,8RKH747,108.0,2022-08-21T00:00:00.000,,,,,,,,,,
5,945998966,2021-12-03T13:09:00.000,TRC7.2.22,STR CLEAN,269 LOBOS STREET,CA,7PZU312,85.0,2022-01-11T00:00:00.000,,,,,,,,,,
6,953245112,2022-07-21T11:46:00.000,TRC7.2.26,YEL ZONE,2838 MISSION ST,CA,7LRD388,108.0,2022-08-02T00:00:00.000,,,,,,,,,,
7,885953401,2017-09-07T11:12:00.000,V5204A,REG TABS,320 CLAY ST,CA,83177C1,121.0,2021-04-12T00:00:00.000,"{'type': 'Point', 'coordinates': [-122.39941473299996, 37.79520646700007]}",3,Financial District/South Beach,POINT(-122.39941473299996 37.79520646700007),POINT(-122.39941473299996 37.79520646700007),8,108,108,6,3
8,882094231,2017-05-16T11:58:00.000,TRC7.2.22,STR CLEAN,3081 CLAY ST,CA,6MFF478,71.0,2021-04-11T00:00:00.000,"{'type': 'Point', 'coordinates': [-122.44376499299995, 37.78942847700006]}",2,Pacific Heights,POINT(-122.44376499299995 37.78942847700006),POINT(-122.44376499299995 37.78942847700006),30,102,102,8,6
9,933499346,2020-11-04T09:30:00.000,V5204A,REG TABS,90 CRANLEIGH DR,CA,7TRA090,121.0,2020-11-23T00:00:00.000,,,,,,,,,,
10,933568753,2020-11-07T02:28:00.000,TRC7.2.22,STR CLEAN,235 MASON ST,CA,7UEM252,79.0,2020-12-10T00:00:00.000,,,,,,,,,,
11,945930775,2021-12-02T13:42:00.000,V22500H,DBL PARK,185 ARKANSAS ST,CA,05626A2,110.0,2022-04-14T00:00:00.000,,,,,,,,,,
12,886050852,2017-09-08T13:15:00.000,TRC7.2.20,RES/OT,185 BLUXOME ST,CA,5ZXT818,84.0,2021-04-12T00:00:00.000,"{'type': 'Point', 'coordinates': [-122.399878807, 37.77441528000003]}",6,Mission Bay,POINT(-122.399878807 37.77441528000003),POINT(-122.399878807 37.77441528000003),4,32,32,1,10
13,933634553,2020-11-06T10:49:00.000,TRC7.2.23B,MTR OUT DT,2108 CHESTNUT ST,CA,F877K0,79.0,2020-11-14T00:00:00.000,,,,,,,,,,
14,946003822,2021-12-03T13:53:00.000,TRC7.2.20,RES/OT,215 FONT BLVD,CA,8SNF156,97.0,2022-03-10T00:00:00.000,,,,,,,,,,
15,875978666,2016-12-21T12:25:00.000,V5200,NO PLATES,333 04TH ST,CA,48191A2,121.0,2020-11-16T00:00:00.000,"{'type': 'Point', 'coordinates': [-122.03654390799994, 38.24835797800006]}",,,POINT(-122.03654390799994 38.24835797800006),POINT(-122.03654390799994 38.24835797800006),,,,,
16,940569873,2021-07-06T12:48:00.000,TRC7.2.22,STR CLEAN,1396 47TH AVE,CA,6NBX479,83.0,2021-07-18T00:00:00.000,,,,,,,,,,
17,881789506,2017-08-12T11:08:00.000,TRC7.2.35,PRK GRADE,2261 TURK ST,CA,6THY738,66.0,2021-04-11T00:00:00.000,"{'type': 'Point', 'coordinates': [-122.44628528599998, 37.77865081900006]}",2,Lone Mountain/USF,POINT(-122.44628528599998 37.77865081900006),POINT(-122.44628528599998 37.77865081900006),18,97,97,7,11
18,946012465,2021-12-03T12:38:00.000,TRC7.2.20,RES/OT,319 27TH STREET,CA,8VJS039,97.0,2022-01-13T00:00:00.000,,,,,,,,,,
19,942846192,2021-09-06T10:11:00.000,TRC7.2.23B,MTR OUT DT,1616 UNION ST,CA,6MUA024,87.0,2021-10-07T00:00:00.000,,,,,,,,,,
